iter	MultiClass
0	1.694158474
1	1.472273933
2	1.262920384
3	1.131990862
4	1.01774017
5	0.9259837811
6	0.8359105323
7	0.7591813778
8	0.7019953692
9	0.6423631517
10	0.5949893082
11	0.5561790835
12	0.5194047799
13	0.4854486388
14	0.4580116285
15	0.4276885649
16	0.399591711
17	0.3787873458
18	0.356003449
19	0.3381850075
20	0.3221104703
21	0.3064640454
22	0.2921291181
23	0.2797152793
24	0.267810614
25	0.2539291324
26	0.242869624
27	0.2315907537
28	0.2230705447
29	0.2148938333
30	0.2075332286
31	0.1995972091
32	0.1926319905
33	0.1855073546
34	0.1813316492
35	0.1762498848
36	0.1720049159
37	0.1673647756
38	0.1636686161
39	0.1606910198
40	0.1569229403
41	0.1540150736
42	0.1498386145
43	0.1458523438
44	0.1426052717
45	0.1395038057
46	0.1361579103
47	0.1334782931
48	0.1305491336
49	0.1284162184
50	0.1261489658
51	0.1228051671
52	0.1212893549
53	0.1196192629
54	0.1183490217
55	0.1167023318
56	0.1154129095
57	0.1136815512
58	0.1126537643
59	0.1112602532
60	0.1102326224
61	0.1093821356
62	0.1082039004
63	0.1067200571
64	0.1054117861
65	0.1046505788
66	0.1038627279
67	0.1025341902
68	0.1016361563
69	0.1000780779
70	0.09916333739
71	0.09773547647
72	0.09653765604
73	0.09479004688
74	0.09402251832
75	0.09303152636
76	0.09213869257
77	0.09162969826
78	0.09062557343
79	0.09021399908
80	0.08938844501
81	0.0889573482
82	0.08856275597
83	0.08782695586
84	0.08706081587
85	0.08619424347
86	0.08562825639
87	0.08486785186
88	0.08433172803
89	0.08373233138
90	0.08346230893
91	0.08244393584
92	0.08181276205
93	0.08132744267
94	0.08037167622
95	0.07963814277
96	0.07889858189
97	0.07819929749
98	0.07777542358
99	0.07692786886
100	0.07619981536
101	0.07587598038
102	0.07545218794
103	0.07466996335
104	0.0741580855
105	0.07338275349
106	0.07286540412
107	0.07215650114
108	0.07159182093
109	0.07112249872
110	0.07055615606
111	0.06998410785
112	0.06965700853
113	0.06928512389
114	0.0685324255
115	0.06789717183
116	0.06731929318
117	0.06706264324
118	0.06660292122
119	0.06610329097
120	0.06578993028
121	0.06549733604
122	0.0648526981
123	0.0645528513
124	0.06431516855
125	0.06384796209
126	0.06347553236
127	0.06298977503
128	0.06269027584
129	0.0623180597
130	0.06192385484
131	0.06159277273
132	0.06128339375
133	0.06086656025
134	0.06049330178
135	0.06029918276
136	0.05991477678
137	0.05965126577
138	0.059328288
139	0.05915623645
140	0.05892545531
141	0.0583304882
142	0.05800410308
143	0.05765211654
144	0.05749831842
145	0.05712128974
146	0.05705699547
147	0.05634126303
148	0.05602071296
149	0.05597752554
150	0.0556479007
151	0.05546658113
152	0.05539132293
153	0.05499575346
154	0.05466219647
155	0.05451146746
156	0.05431049598
157	0.05416266384
158	0.05390123463
159	0.05360267892
160	0.05346310753
161	0.05325413558
162	0.0529859284
163	0.05281076057
164	0.05263964879
165	0.05253713367
166	0.05245747478
167	0.05194372884
168	0.05180158108
169	0.05144776687
170	0.051139742
171	0.05105810784
172	0.05079561155
173	0.05061881861
174	0.05029430383
175	0.05002098906
176	0.04990404361
177	0.04967332881
178	0.04942508167
179	0.04918435708
180	0.04900618978
181	0.04867672452
182	0.04847624036
183	0.04800921717
184	0.04786871487
185	0.04769679746
186	0.04750551066
187	0.04722737971
188	0.04695729167
189	0.04667905505
190	0.04639440078
191	0.0463594624
192	0.04612808336
193	0.04603591113
194	0.04577171115
195	0.04546150074
196	0.04527790278
197	0.04517046962
198	0.04492605463
199	0.04471801004
200	0.04456862954
201	0.04443167403
202	0.04417425371
203	0.04411421178
204	0.04393081282
205	0.04374972902
206	0.04366603375
207	0.04334558195
208	0.04316707218
209	0.04289613525
210	0.04270903324
211	0.04259168904
212	0.04251850671
213	0.04243994272
214	0.04224032621
215	0.04214674379
216	0.04210419705
217	0.04200623088
218	0.04185025417
219	0.04172296794
220	0.04155623232
221	0.04139677649
222	0.0412816234
223	0.04114898233
224	0.04071170318
225	0.04043441785
226	0.04023640245
227	0.04013243505
228	0.03998285025
229	0.03984330293
230	0.03966021074
231	0.03941732997
232	0.0391911268
233	0.03912362702
234	0.03885935868
235	0.03850923352
236	0.0384302118
237	0.03825043528
238	0.0380959635
239	0.03794357135
240	0.0378200784
241	0.03761060517
242	0.03752677922
243	0.03737819418
244	0.03717652239
245	0.03695576605
246	0.03678519548
247	0.03664252092
248	0.03655763587
249	0.03636892983
250	0.03622154448
251	0.03612052723
252	0.03604570435
253	0.03596138083
254	0.0358328639
255	0.03572765234
256	0.03558051387
257	0.03542145009
258	0.0353452369
259	0.03521183458
260	0.03505236601
261	0.0348765562
262	0.03470955276
263	0.03460460676
264	0.03455518865
265	0.03444184354
266	0.03434823745
267	0.03428496198
268	0.03416197782
269	0.03412643447
270	0.03401487366
271	0.03386012024
272	0.03371839552
273	0.03353013196
274	0.03341076827
275	0.03326379208
276	0.03317030094
277	0.0330453976
278	0.03283886277
279	0.03267017277
280	0.03250879855
281	0.03243550444
282	0.03235465148
283	0.03226933105
284	0.03218070942
285	0.03204472467
286	0.03195126702
287	0.03177387785
288	0.0316660618
289	0.03159564303
290	0.03147460141
291	0.03137261622
292	0.03123002609
293	0.03114297145
294	0.03106280674
295	0.03091793774
296	0.03082166046
297	0.03071269469
298	0.0306443375
299	0.03053362812
300	0.03044492914
301	0.03032544115
302	0.03024992692
303	0.03020529286
304	0.03007392059
305	0.02994503725
306	0.02988821326
307	0.0297894652
308	0.02967322585
309	0.02958930961
310	0.02943647767
311	0.02933601752
312	0.02927518833
313	0.02917525905
314	0.02911731248
315	0.02898968639
316	0.02890364249
317	0.02881624936
318	0.02872590851
319	0.02862394692
320	0.02856529671
321	0.02842345357
322	0.0283297335
323	0.02828767488
324	0.02818088762
325	0.02811491175
326	0.02804859357
327	0.02802955408
328	0.02793780444
329	0.02790919947
330	0.02784403013
331	0.02782836397
332	0.0276843261
333	0.02763588231
334	0.02748973707
335	0.02738523967
336	0.02729032021
337	0.02718001651
338	0.02706120847
339	0.02683400822
340	0.0266712043
341	0.02661825208
342	0.02656086909
343	0.02654644305
344	0.02647281853
345	0.02633390994
346	0.0261711858
347	0.02608133034
348	0.02599022121
349	0.02587759367
350	0.02582681967
351	0.02570065962
352	0.02563728088
353	0.02558021518
354	0.02550429336
355	0.02542672398
356	0.02527246528
357	0.02520872938
358	0.02515567059
359	0.02508337173
360	0.0250441506
361	0.02493429442
362	0.02487733481
363	0.02480598254
364	0.02470635439
365	0.02467910351
366	0.02455791112
367	0.02452455267
368	0.02441643885
369	0.02434097558
370	0.02418285444
371	0.02408390414
372	0.02401038576
373	0.02396029939
374	0.02393398634
375	0.02385984687
376	0.02381029905
377	0.02375574056
378	0.02368033311
379	0.02362050131
380	0.02358439865
381	0.02352769681
382	0.02342595487
383	0.02337744957
384	0.02331279955
385	0.0232370944
386	0.02319707869
387	0.02315593501
388	0.02310950913
389	0.02304274405
390	0.02298569252
391	0.02296883584
392	0.02287617428
393	0.02283932611
394	0.0227726194
395	0.02269459885
396	0.02262762599
397	0.02259213158
398	0.02253687341
399	0.02248174182
400	0.02242968285
401	0.02239208686
402	0.02232010202
403	0.02218558789
404	0.02214603809
405	0.02209966624
406	0.02207560512
407	0.02201868081
408	0.02194382516
409	0.02192642586
410	0.02189980118
411	0.02186857151
412	0.02175840036
413	0.02172427502
414	0.02167505358
415	0.02159548635
416	0.02155461987
