iter	Passed	Remaining
0	103	103636
1	155	77548
2	264	88054
3	343	85494
4	472	94093
5	540	89582
6	615	87249
7	717	88958
8	809	89185
9	897	88880
10	984	88540
11	1064	87668
12	1184	89940
13	1303	91818
14	1420	93255
15	1527	93914
16	1598	92446
17	1669	91068
18	1742	89977
19	1815	88959
20	1914	89261
21	2005	89148
22	2094	88982
23	2223	90426
24	2312	90202
25	2404	90079
26	2497	89984
27	2582	89654
28	2642	88482
29	2721	87987
30	2810	87841
31	2892	87483
32	2984	87449
33	3067	87164
34	3170	87417
35	3265	87436
36	3342	86988
37	3413	86410
38	3494	86106
39	3609	86627
40	3681	86100
41	3762	85814
42	3832	85284
43	3913	85027
44	3982	84512
45	4061	84224
46	4141	83977
47	4227	83840
48	4292	83315
49	4368	83009
50	4456	82917
51	4523	82461
52	4602	82240
53	4685	82083
54	4751	81645
55	4828	81393
56	4917	81352
57	5036	81801
58	5186	82724
59	5273	82610
60	5356	82449
61	5438	82275
62	5502	81835
63	5577	81565
64	5654	81343
65	5755	81444
66	5854	81528
67	5955	81626
68	6023	81275
69	6087	80876
70	6168	80709
71	6237	80388
72	6312	80161
73	6374	79768
74	6442	79461
75	6498	79004
76	6559	78628
77	6627	78345
78	6693	78039
79	6764	77797
80	6850	77718
81	6938	77674
82	6998	77326
83	7066	77063
84	7146	76931
85	7222	76756
86	7290	76506
87	7351	76187
88	7405	75801
89	7479	75626
90	7544	75358
91	7626	75268
92	7701	75113
93	7772	74909
94	7842	74706
95	7920	74586
96	7996	74445
97	8060	74187
98	8137	74057
99	8208	73877
100	8278	73684
101	8348	73499
102	8422	73352
103	8486	73110
104	8548	72862
105	8641	72880
106	8737	72923
107	8805	72726
108	8875	72554
109	8943	72362
110	9009	72157
111	9075	71954
112	9136	71714
113	9205	71542
114	9274	71376
115	9324	71061
116	9401	70953
117	9472	70800
118	9538	70614
119	9627	70602
120	9711	70552
121	9782	70400
122	9832	70103
123	9902	69957
124	9971	69799
125	10018	69496
126	10083	69314
127	10148	69138
128	10226	69049
129	10298	68918
130	10362	68739
131	10434	68612
132	10499	68441
133	10578	68365
134	10655	68273
135	10720	68107
136	10801	68040
137	10872	67911
138	10938	67758
139	10998	67564
140	11053	67342
141	11130	67256
142	11196	67099
143	11261	66942
144	11326	66787
145	11382	66579
146	11462	66512
147	11515	66290
148	11599	66247
149	11674	66157
150	11751	66073
151	11804	65855
152	11897	65864
153	11950	65650
154	12012	65488
155	12075	65331
156	12132	65146
157	12213	65088
158	12285	64982
159	12343	64805
160	12423	64743
161	12493	64624
162	12544	64414
163	12621	64339
164	12690	64221
165	12775	64185
166	12827	63982
167	12892	63850
168	12956	63709
169	13020	63569
170	13072	63373
171	13122	63169
172	13178	62995
173	13247	62887
174	13302	62711
175	13357	62539
176	13451	62546
